#Cu crystal, 4 shells                                     Feff 6.01l  potph 4.12
#Abs   Z=29 Rmt= 1.289 Rnm= 1.427 K shell
#Pot 1 Z=29 Rmt= 1.275 Rnm= 1.399
#Gam_ch=1.761E+00 H-L exch
#Mu=-5.493E+00 kf=1.793E+00 Vint=-1.774E+01 Rs_int= 2.023
#S02  1.000   Temp  190.00  Debye temp  315.00            Feff 6.01l ff2chi 2.01
#Curved wave amplitude ratio filter   4.000%
#   file           sig2  cw amp ratio   deg  nlegs  r effective
#feff0001.dat    0.00609    100.00     12.00     2   2.5527
#feff0002.dat    0.00748     22.99      6.00     2   3.6100
#feff0003.dat    0.00685     10.56     48.00     3   3.8290
#feff0004.dat    0.00756      8.67     48.00     3   4.3577
#feff0005.dat    0.00767     55.44     24.00     2   4.4213
#feff0006.dat    0.00772     10.61     48.00     3   4.7633
#feff0007.dat    0.00772     22.03     96.00     3   4.7633
#feff0008.dat    0.00775     18.96     12.00     2   5.1053
#feff0009.dat    0.00775      8.46     12.00     3   5.1053
#feff0010.dat    0.00775     43.81     24.00     3   5.1053
#feff0011.dat    0.00775      8.25     12.00     4   5.1053
#feff0014.dat    0.00775     32.88     12.00     4   5.1053
#  12/  14 paths used
#-------------------------------------------------------------------------------
#     k          chi          mag           phase @#
     7.5000    2.832961E-03  2.389465E-02  2.525158E+01
     7.5500    1.221112E-02  3.280359E-02  2.551417E+01
     7.6000    2.552467E-02  4.099627E-02  2.580481E+01
     7.6500    4.000832E-02  4.834456E-02  2.610750E+01
     7.7000    5.251685E-02  5.476355E-02  2.641610E+01
     7.7500    6.017674E-02  6.019433E-02  2.672772E+01
     7.8000    6.096223E-02  6.459935E-02  2.704070E+01
     7.8500    5.408336E-02  6.796081E-02  2.735400E+01
     7.9000    4.011653E-02  7.027988E-02  2.766684E+01
     7.9500    2.086351E-02  7.157608E-02  2.797855E+01
     8.0000   -1.019212E-03  7.188660E-02  2.828851E+01
     8.0500   -2.264113E-02  7.132153E-02  2.859738E+01
     8.1000   -4.110152E-02  6.990874E-02  2.890283E+01
     8.1500   -5.428576E-02  6.773488E-02  2.920404E+01
     8.2000   -6.107350E-02  6.490096E-02  2.949999E+01
     8.2500   -6.142621E-02  6.152164E-02  2.978943E+01
     8.3000   -5.626041E-02  5.772470E-02  3.007085E+01
     8.3500   -4.715274E-02  5.365086E-02  3.034242E+01
     8.4000   -3.595465E-02  4.945370E-02  3.060193E+01
     8.4500   -2.440629E-02  4.529938E-02  3.084694E+01
     8.5000   -1.383122E-02  4.136486E-02  3.107499E+01
     8.5500   -4.982039E-03  3.796770E-02  3.128433E+01
     8.6000    2.079142E-03  3.514633E-02  3.147512E+01
     8.6500    7.677326E-03  3.303640E-02  3.165046E+01
     8.7000    1.237613E-02  3.170294E-02  3.181697E+01
     8.7500    1.672900E-02  3.111422E-02  3.198359E+01
     8.8000    2.106918E-02  3.114352E-02  3.215895E+01
     8.8500    2.538858E-02  3.160184E-02  3.234889E+01
     8.9000    2.933017E-02  3.228283E-02  3.255570E+01
     8.9500    3.228773E-02  3.299814E-02  3.277885E+01
     9.0000    3.358055E-02  3.359518E-02  3.301624E+01
     9.0500    3.276290E-02  3.408987E-02  3.326666E+01
     9.1000    2.941187E-02  3.427281E-02  3.352583E+01
     9.1500    2.365030E-02  3.409916E-02  3.379108E+01
     9.2000    1.601349E-02  3.355093E-02  3.405995E+01
     9.2500    7.357125E-03  3.263295E-02  3.433011E+01
     9.3000   -1.309035E-03  3.136970E-02  3.459926E+01
     9.3500   -9.019696E-03  2.980315E-02  3.486498E+01
     9.4000   -1.503681E-02  2.799139E-02  3.512463E+01
     9.4500   -1.897381E-02  2.600801E-02  3.537517E+01
     9.5000   -2.083451E-02  2.394212E-02  3.561313E+01
     9.5500   -2.102051E-02  2.196297E-02  3.583431E+01
     9.6000   -2.002902E-02  2.011694E-02  3.603479E+01
     9.6500   -1.847549E-02  1.854080E-02  3.621227E+01
     9.7000   -1.687091E-02  1.736808E-02  3.636816E+01
     9.7500   -1.549896E-02  1.669879E-02  3.650970E+01
     9.8000   -1.436376E-02  1.656301E-02  3.664952E+01
     9.8500   -1.321873E-02  1.690373E-02  3.680124E+01
     9.9000   -1.166634E-02  1.759615E-02  3.697429E+01
     9.9500   -9.300629E-03  1.848885E-02  3.717200E+01
    10.0000   -5.854339E-03  1.943861E-02  3.739319E+01
    10.0500   -1.316771E-03  2.052576E-02  3.763492E+01
    10.1000    4.158709E-03  2.149181E-02  3.789384E+01
    10.1500    1.002998E-02  2.226436E-02  3.816643E+01
    10.2000    1.554547E-02  2.279148E-02  3.844971E+01
    10.2500    1.989320E-02  2.303823E-02  3.874125E+01
    10.3000    2.237449E-02  2.298383E-02  3.903913E+01
    10.3500    2.256121E-02  2.261953E-02  3.934174E+01
    10.4000    2.039916E-02  2.194692E-02  3.964771E+01
    10.4500    1.623246E-02  2.097661E-02  3.995583E+01
    10.5000    1.074211E-02  1.972708E-02  4.026487E+01
    10.5500    4.811815E-03  1.822370E-02  4.057350E+01
    10.6000   -6.490663E-04  1.649796E-02  4.088006E+01
    10.6500   -4.885845E-03  1.458687E-02  4.118226E+01
    10.7000   -7.442109E-03  1.253286E-02  4.147649E+01
    10.7500   -8.235374E-03  1.038491E-02  4.175645E+01
    10.8000   -7.549424E-03  8.202929E-03  4.200964E+01
    10.8500   -5.947139E-03  6.072820E-03  4.220770E+01
    10.9000   -4.125541E-03  4.163017E-03  4.227722E+01
